1,netflix.com
2,ftl.netflix.com
3,prod.ftl.netflix.com
4,api-global.netflix.com
5,ichnaea.netflix.com
6,netflix.net
7,partner.netflix.net
8,prod.partner.netflix.net
9,preapp.prod.partner.netflix.net
10,google.com
11,microsoft.com
12,nrdp.prod.ftl.netflix.com
13,data.microsoft.com
14,windowsupdate.com
15,ctldl.windowsupdate.com
16,events.data.microsoft.com
17,settings-win.data.microsoft.com
18,www.google.com
19,live.com
20,prod.netflix.com
21,push.prod.netflix.com
22,apple.com
23,update.googleapis.com
24,mp.microsoft.com
25,microsoftonline.com
26,login.microsoftonline.com
27,v10.events.data.microsoft.com
28,safebrowsing.googleapis.com
29,facebook.com
30,officeapps.live.com
31,akadns.net
32,com.akadns.net
33,dsp.mp.microsoft.com
34,lencr.org
35,itunes.apple.com
36,akamaiedge.net
37,do.dsp.mp.microsoft.com
38,prod.do.dsp.mp.microsoft.com
39,clientservices.googleapis.com
40,amazonaws.com
41,nexusrules.officeapps.live.com
42,bing.com
43,icloud.com
44,office.com
45,aaplimg.com
46,ls.apple.com
47,doubleclick.net
48,self.events.data.microsoft.com
49,skype.com
50,login.live.com
51,g.doubleclick.net
52,g.aaplimg.com
53,digicert.com
54,www.googleapis.com
55,c.lencr.org
56,x1.c.lencr.org
57,smartscreen-prod.microsoft.com
58,nrdp52-appboot.netflix.com
59,office365.com
60,edge.skype.com
61,youtube.com
62,config.edge.skype.com
63,time.apple.com
64,googleads.g.doubleclick.net
65,edge.microsoft.com
66,apple-dns.net
67,ocsp.digicert.com
68,play.googleapis.com
69,play.google.com
70,googleusercontent.com
71,fe.apple-dns.net
72,gateway.icloud.com
73,bag.itunes.apple.com
74,graph.facebook.com
75,secure.netflix.com
76,push.apple.com
77,outlook.office365.com
78,teams.microsoft.com
79,dsce9.akamaiedge.net
80,time-osx.g.aaplimg.com
81,msn.com
82,nrdp-ipv6.prod.ftl.netflix.com
83,app-measurement.com
84,amazon.com
85,mtalk.google.com
86,www.youtube.com
87,gateway.fe.apple-dns.net
88,init.itunes.apple.com
89,fbcdn.net
90,yahoo.com
91,google-analytics.com
92,nflxso.net
93,windows.net
94,clients4.google.com
95,1.nflxso.net
96,www.bing.com
97,config.teams.microsoft.com
98,e673.dsce9.akamaiedge.net
99,ytimg.com
100,akamai.net
